brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids
Devon Cream,Chocolate Digestive,51db37e8176fe9790a89a771,559d15265d4d528a0d7913d0,40032002016,2,null,null,120,60,6,3.5,1,null,null,0,40,14,0,7,1,0,0,2,4,null,null,1,pack,22,22,g,https://d1r9wva3zcpswd.cloudfront.net/559d16a4a65f560f3cf48883.jpeg,2015-07-08T12:25:08+00:00,null
Royal Dansk,"Luxury Wafers, Vanilla",51db37ba176fe9790a898cbd,51c3f06297c3e6de73cbc594,77330570060,2,Vanilla,"Sugar, Wheat Flour, Palm Oil, Tapioca Starch, Dextrin, Whey, Rice Flour, Milk, Dairy Creamer (Whey, Vegetable Oils [Coconut, Palm], Natural Flavor, Soy Lecithin), Salt, Soy Lecithin, Artificial Flavors (Vanilla, Milk), and Eggs.",130,45,5,2,0,null,null,0,70,21,0,7,1,0,0,0,0,null,13,3,pieces,28.5,28.5,g,null,2014-11-24T20:24:24+00:00,null
Hunter Farms,"Milk, 2% Reduced Fat",51db37bc176fe9790a898ded,54f01bf33e1cba632126a72e,74336863950,2,null,null,230,80,9,5,0,null,null,35,200,19,0,19,16,17,0,50,0,null,1,1.74,cups,null,414,ml,https://d1r9wva3zcpswd.cloudfront.net/54f01c52adc5a97a212c2b75.jpeg,2015-02-27T07:27:14+00:00,null
Great Value,Beef Burgers,51db37b1176fe9790a898466,5541df0bf796046c4f223b8e,78742088679,2,null,null,290,200,23,9,2,0.5,10,90,85,0,0,0,19,0,0,2,10,null,8,1,burger,113,113,g,https://d1r9wva3zcpswd.cloudfront.net/5541dfcaf425da534fbf6038.jpeg,2015-04-30T13:49:40+00:00,null
Eagle Brand,"Milk, Sweetened Condensed, Low Fat",51db37c3176fe9790a899241,51c38fe897c3e6d3ebc5c430,52729102138,2,"Sweetened Condensed, Low Fat","Concentrated Whole Milk, Concentrated Nonfat Milk, Sugar, Vitamin A Palmitate.",120,15,1,1,0,null,null,5,40,24,0,24,3,2,0,10,0,null,10,2,tbsp,40,40,g,null,2014-11-24T20:24:24+00:00,null
New England Country Soup,"Soup, Caribbean Black Bean",51db37e0176fe9790a89a2df,51c4041a97c3e6dfa4df524c,72010825119,2,Caribbean Black Bean,"Water, Black Beans, Green Peppers, Red Peppers, Onions, Rice Starch, Chili Peppers, Jalapeno Peppers, Olive Oil, Lower Sodium Sea Salt, Sugar, Cumin, Allspice, Nutmeg.",210,20,2,0,0,null,null,0,230,38,8,4,10,20,50,8,15,null,2,1,cup,212,212,g,null,2014-11-24T20:24:24+00:00,null
Smithfield,"Sausage, Smoked",51db37b2176fe9790a8985ac,51c3c34297c3e6d8d3b4a591,70800050024,2,Smoked,"Pork, Water, Beef, Corn Syrup, Salt, Contains 2% or Less Flavorings, Dextrose, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite.",280,210,23,8,0,null,null,55,810,4,0,1,12,0,0,2,4,null,5,1,link,90,90,g,null,2014-11-24T20:24:24+00:00,null
Salute Sante!,Grapeseed Oil,51db37e6176fe9790a89a6aa,51c3d1bf97c3e6d8d3b516fa,56240009945,2,null,Grapeseed Oil.,120,120,14,1,0,null,null,0,0,0,null,null,0,0,0,0,0,null,68,1,tbsp,14,14,g,null,2014-11-24T20:24:24+00:00,null
Essential Everyday,"Cream Cheese Spread & Greek Nonfat Yogurt, Greek",51db37b0176fe9790a8983ec,54e148396145ef8f0385ac53,41303054369,2,null,null,60,35,4,2.5,0,null,null,15,95,4,0.5,3,4,2,0,6,0,null,7,2,tbsp,32,32,g,https://d1r9wva3zcpswd.cloudfront.net/54e75fe5014162fb234f4ab6.jpeg,2015-02-20T16:25:09+00:00,null
Eggo,"Pancakes, Chocolate Chip",51db37b2176fe9790a89859b,51d2ff95cc9bff111580f85b,38000396731,2,Chocolate Chip,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Vitamin B1 [Thiamin Mononitrate], Vitamin B2 [Riboflavin], Folic Acid), Water, Sugar, Soybean and/or Canola Oil, Semisweet Chocolate (Sugar, Chocolate, Cocoa Butter, Dextrose, Chocolate Processed with Alkali, Soy Lecithin, Artificial Flavor), Eggs, Contains 2% or Less of Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Salt, Fructose, Artificial Flavor, Whey, Cornstarch, Soy Lecithin. Vitamins and Minerals: Vitamin A Palmitate, Reduced Iron, Niacinamide, Vitamin B12, Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B1 (Thiamin Hydrochloride), Vitamin B2 (Riboflavin).",270,80,9,2,0,null,null,15,490,42,1,12,6,20,0,8,25,null,4,3,pancakes,105,105,g,null,2014-11-24T20:24:24+00:00,null
Great Value,Fudge Double Filled Twist & Shout Sandwich Cookies,51db37b1176fe9790a898466,52b658832dedad540e00531c,78742084749,2,null,null,140,50,6,2,0,2,1.5,0,115,21,0.5,13,1,0,0,0,10,85,15,2,cookies,29,29,g,https://d1r9wva3zcpswd.cloudfront.net/536b9584480d28113fe8d4f8.jpeg,2014-11-24T20:24:24+00:00,null
Santa Cruz,"Juice, White Grape",51db37c2176fe9790a8991d8,51c3722d97c3e69de4b0b3c9,36192122893,2,White Grape,"Filtered Water (Sufficient to Reconstitute), Organic White Grape Juice Concentrate. Gluten free.",160,0,0,null,null,null,null,null,20,39,null,39,0,0,0,0,0,null,4,8,fl oz,226,226,g,null,2014-11-24T20:24:24+00:00,null
Our Family,"Tomatoes, Stewed Italian",51db37b0176fe9790a8983b6,51c3e9f397c3e6de73cb9a63,70253267345,2,Stewed Italian,"Tomatoes, Tomato Juice, Sugar, Salt, Dehydrated Onion, Dehydrated Celery, Dehydrated Bell Peppers, Spices, Calcium Chloride, Citric Acid, Natural Flavors.",35,0,0,0,0,null,null,0,270,8,1,6,1,10,20,4,6,null,3.5,0.5,cup,117,117,g,null,2014-11-24T20:24:24+00:00,null
Devonsheer,"Melba Rounds, Sesame 5.25 Oz",51db37ba176fe9790a898d18,51c5497997c3e6efadd5fe88,30684814839,2,Sesame 5.25 Oz,"Organic Wheat Flour, Organic Sesame Seeds, Organic Canola Oil, Sea Salt, Organic Molasses, Yeast, Organic Wheat Gluten, Organic Vinegar. Contains: Wheat.",70,15,2,0,0,null,null,0,100,11,1,0,2,0,0,0,4,null,10,15,G,15,15,g,null,2014-11-24T20:24:24+00:00,null
Entenmann's,"Mini Cakes, Creme Filled Chocolate, Cakes, Individual Servings",51db37b9176fe9790a898c23,51c3d5d997c3e6d8d3b538b9,72030013275,2,"Cakes, Individual Servings","Sugar, Enriched Bleached Wheat Flour [Flour, Malted Barley Flour, reduced Iron, Niacin, Thiamin Mononitrate (b1), Riboflavin (B2), Folic Acid], Whole Milk Partially Hydrogenated Vegetable Shortening (Soybean, Cottonseed), Eggs, Nonfat Milk, Invert Sugar, Cocoa (Processed With Alkali), Chocolate Powder (Sugar, Chocolate Liquor, Dextrose), Corn Syrup, Glycerine, Butter, Natural & artificial Flavors, Mono- and Diglycerides, Leavening (Baking Soda, Sodium Aluminum Phosphate), Modified Cornstarch, Salt, Water, Potassium Sorbate (Preservative), Dextrose, Xanthan Gum, Calcium Carbonate, Calcium Sulfate, Soy Lecithin, Agar, Pectin, Cream Of Tartar, Sodium Aluminum Sulfate, Artificial Color, Caramel Color.",220,90,10,3,null,null,null,15,260,31,1,null,2,0,0,2,4,null,6,1,pc,57,57,g,null,2014-11-24T20:24:24+00:00,null
Sensations,Black Bean & Corn Salsa,5478e7fdfb51561224943d49,556c661169d2b26d39ada1a5,623682108378,2,null,null,25,null,0,0,0,null,null,0,320,5,1,3,1,4,4,0,4,null,null,0.25,cup,null,60,ml,https://d1r9wva3zcpswd.cloudfront.net/556c65e59aba6c422b844c9b.jpeg,2015-06-01T14:02:14+00:00,null
Hy-Vee,"Simmer Sauce, Butter Chicken",51db37b0176fe9790a8983f0,55f0808f5a06cff62e0d8b80,75450121520,2,null,null,140,80,9,5,0,null,null,30,680,13,2,9,2,15,2,4,6,null,3,0.5,cup,null,120,ml,https://d1r9wva3zcpswd.cloudfront.net/55f07f180d0e1db1126b7296.jpeg,2015-09-09T18:48:56+00:00,null
Godiva Chocolatier,"Dark Chocolates, Assorted",51db37b3176fe9790a8986ea,51c36fbc97c3e69de4b09d4c,31290044412,2,Assorted,"Bittersweet Chocolate (Chocolate Liquor (Processed with Alkali), Sugar, Cocoa Butter, Butteroil, Milk, Soy Lecithin (Emulsifier), Natural Flavor), Heavy Cream, High Fructose Corn Syrup, Invert Sugar, Sugar, Milk, Evaporated Milk (Vitamin D), Partially Hydrogenated Palm Kernel Oil, Brown Sugar, Cocoa Butter, Chocolate Liquor, Breakfast Cocoa, Soy Lecithin (Emulsifier), Salt, Natural Flavor.",200,100,11,7,null,null,null,5,55,22,2,18,2,0,0,0,10,null,3,5,pieces,40,40,g,null,2014-11-24T20:24:24+00:00,null
Eillien's,Assorted Lollies,5466478aa772dae86152630c,55ccc836a4eaf49a73233c0f,34952560633,2,null,null,30,0,0,0,0,null,null,0,0,7,0,7,0,0,0,0,0,null,56,1,pop,8,8,g,https://d1r9wva3zcpswd.cloudfront.net/55ccca92d5c813855a8a1b8e.jpeg,2015-08-13T16:49:22+00:00,null
Bumble Bee,"Red Salmon, Wild Alaska Sockeye",51db37be176fe9790a898ef5,51c3edfa97c3e6de73cbb58a,86600000640,2,Wild Alaska Sockeye,"Sockeye Salmon, Salt.",110,60,7,1,0,null,null,40,270,0,0,0,13,2,0,10,2,null,7,0.25,cup,63,63,g,null,2014-11-24T20:24:24+00:00,null
Atkins Advantage,French Vanilla Shake,51db381b176fe9790a89b579,53b2b00ed578af5b0c6ec197,637480061025,2,null,"Water, Milk Protein Concentrate, Sunflower Oil, Soy Protein Isolate, Natural And Artificial Flavors, Cellulose Gel, Magnesium Phosphate, Calcium Phosphate, Potassium Citrate, Sodium Hexametaphosphate, Cellulose Gum, Sucralose, Carrageenan, Vitamin Mineral Mix (Zinc Gluconate, Ferric Orthophosphate, D-L Alpha Tocopheryl Acetate, Niacinamide, Manganese Gluconate, Maltodextrin, D-Calcium Pantothenate, Beta Carotene, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Riboflavin, Chromium Chloride, Folic Acid, Biotin, Potassium Iodide, Sodium Molybdate, Sodium Selenite, Vitamin K-1 And Cyanocobalamin), Salt, Acesulfame, Potassium And Sodium Ascorbate. Vitamin K 20%, Biotin 30%, Pantothenic Acid 20%, Selenium 20%, Chromium 20%, Molybdenum 20%.",160,80,9,3,0,null,null,10,200,2,1,1,15,0,15,40,0,270,1,11,fl oz,null,325,ml,https://d1r9wva3zcpswd.cloudfront.net/5457d1de0d5781691593f161.jpeg,2014-11-24T20:24:24+00:00,null
Roundy's,"Cashews, Halves & Pieces, Salted",51db37b8176fe9790a898af0,54fdf3feb48bcb64594a8473,11150189941,2,null,null,160,120,13,2.5,0,2.5,7,0,110,8,0.5,1,5,0,0,2,10,null,24,0.25,cup,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/54fdf4434e9d7e6f76e3f3e2.jpeg,2015-03-09T19:28:25+00:00,null
Medi WEightloss,Maple Brown Sugar Oatmeal,545ce7be90529ba36e4e1e71,54748895cabbc1f8661c06ee,857723004316,2,null,null,100,10,1,0,0,null,null,15,170,9,2,0,14,0,0,15,2,80,7,1,packet,26.6,26.6,g,https://d1r9wva3zcpswd.cloudfront.net/5474914d5c795fc5771e1d01.jpeg,2014-11-25T14:25:17+00:00,null
Giant,Santa Fe Style Salad,51db37b0176fe9790a8983ef,5460ed29a7f2fb4538e91f72,688267147265,2,null,null,280,170,19,4,0,null,null,30,540,16,2,4,11,90,10,10,6,null,null,1,container,177,177,g,https://d1r9wva3zcpswd.cloudfront.net/5460f3138e3df2917ff6359d.jpeg,2014-11-24T20:24:24+00:00,null
HCG Support Shake,"Meal Replacement, Rich Vanilla Beans",55080f5847a43f8a4a0a4d17,55080fc7f9212f824cbc9adc,753182239620,2,null,null,103,18,2,null,null,null,null,0,145,7,5,0,14,50,50,15,50,null,20,41,g,41,41,g,https://d1r9wva3zcpswd.cloudfront.net/55081081fb5995d662a90629.jpeg,2015-03-17T11:31:13+00:00,null
Van de Kamp's,"Crispy Halibut Fillets, Golden Battered",51db37cb176fe9790a8998a9,51c3640397c3e69de4b04066,19600920007,2,Golden Battered,"Halibut, Water, Wheat Flour, Partially Hydrogenated Soybean Oil with TBHQ Added to Protect Flavor, Degermed Yellow Low Corn Flour, Enriched Wheat Flour (Flour, Niacin, Ferrous Sulfate, Thiamin Mononitrate, Riboflavin, Folic Acid), Corn Starch-Modified, Sugar, Leavening (Sodium Acid Pyrophosphate, Baking Soda, Monocalcium Phosphate), Salt, Monosodium Glutamate, Dextrose, Sodium Tripolyphosphate (to Retain Fish Moisture).",240,110,12,2,null,null,null,25,590,22,0,4,11,0,0,0,6,null,3,3,fillets,null,null,null,null,2014-11-24T20:24:24+00:00,null
Clover Valley,Long Grain Brown Rice,51db37bb176fe9790a898d7b,54ef3b1fd3422d1d22db787a,720579791320,2,null,null,150,10,1,0,0,null,null,0,0,32,1,0,3,0,0,0,4,null,21,0.25,cup uncooked,42,42,g,https://d1r9wva3zcpswd.cloudfront.net/54f01c8aadc5a97a212c2b7f.jpeg,2015-02-27T07:28:10+00:00,null
Unknown,French Bread,526831133203b9c3390001c8,55bb1771b7b4ce5e0f73bc26,41172000368,2,null,null,130,10,1.5,0.5,0,null,null,0,250,26,1,2,3,0,0,0,10,null,8,2,oz,58,58,g,https://d1r9wva3zcpswd.cloudfront.net/55bb196527d1bbae4747748c.jpeg,2015-07-31T06:44:53+00:00,null
Giant,Cheddar Cheese Twice Baked Potatoes,51db37b0176fe9790a8983ef,5485d6d0776d34ac74267064,688267056376,2,null,null,190,60,7,2.5,0,0,0.5,5,300,27,2,2,4,2,25,6,4,null,2,1,piece,140,140,g,https://d1r9wva3zcpswd.cloudfront.net/5485df5c1cd9423a0bdabe66.jpeg,2014-12-08T17:26:52+00:00,null
Al Fresco,"Chicken Sausage Burgers, Hot Italian Style",51db37cb176fe9790a899948,5489b898cd11d26e3dc6ea0a,30771096988,2,null,null,150,80,8,2.5,0,null,null,75,530,2,null,1,17,10,2,2,6,null,4,1,patty,98,98,g,https://d1r9wva3zcpswd.cloudfront.net/5489ba45a051f633376f9372.jpeg,2014-12-11T15:37:44+00:00,null
Nature's Promise,"Soymilk, Organic, Unsweetened",51db37b1176fe9790a898468,54eb2aa36a865f6c472354f1,688267064661,2,null,null,70,35,4,0.5,0,null,null,0,120,4,2,2,7,10,0,30,8,null,4,1,cup,null,240,ml,https://d1r9wva3zcpswd.cloudfront.net/54eb70e1f5d806982af5d940.jpeg,2015-02-23T18:26:41+00:00,null
Kroger,"Cheese Snacks, Twists",51db37b9176fe9790a898bdd,51c35a2597c3e69de4affba6,11110587923,2,Twists,"Pasteurized Part-Skim Milk, Cream and Skim Milk, Cheese Cultures, Salt, Annatto (for Color), Enzymes.",80,50,6,3,0,null,null,15,200,0,0,0,6,4,0,20,0,null,12,1,pc,28,28,g,null,2014-11-24T20:24:24+00:00,null
Campbell's,"SpaghettiOs, Meatballs",51db37c1176fe9790a89907e,51c3d42897c3e6d8d3b52b37,51000025630,2,Meatballs,"Water, Tomato Puree (Water, Tomato Paste), Meatballs (Beef, Pork, Water, Bread Crumbs [Enriched Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Dextrose, Salt, Yeast, Soybean Oil], Soy Protein Concentrate, Salt, Dehydrated Onion, Dehydrated Garlic, Beef Flavor [Beef Stock, Flavoring, Salt], Spice Extract), Enriched Macaroni Product with Added Calcium and Vitamin D (Wheat Flour, Calcium Phosphate, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid, Vitamin D) [All Nutrients in Excess of Standard], Enriched Macaroni Product (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Contains Less than 2% of: Sugar, Carrot Juice Concentrate, Salt, Enzyme Modified Cheddar Cheese (Cheddar Cheese [Cultured Milk, Salt, Enzymes, Calcium Chloride], Water, Disodium Phosphate, Enzymes), Potassium Chloride, Vegetable Oil, Enzyme Modified Butter (Milk), Yeast Extract, Flavoring, Ascorbic Acid, Citric Acid, Nonfat Dry Milk, Malic Acid, Succinic Acid.",190,50,6,2,0,null,null,20,490,25,3,6,9,8,10,10,20,null,1,1,can,206,206,g,null,2014-11-24T20:24:24+00:00,null
Fratelli Beretta,Pancetta,51db37b6176fe9790a89895b,51c3c23497c3e6d8d3b49d58,73541405269,2,null,"Pork Belly, Salt, and Less than 2% of the Following: Natural Flavorings, Sugar, Sodium Nitrate, Sodium Ascorbate, Sodium Nitrite, Lactic Acid Starter Culture.",120,60,11,4,0,null,null,25,410,0,0,0,5,0,0,0,0,null,4,1,oz,28,28,g,null,2014-11-24T20:24:24+00:00,null
Philadelphia,"Spreadable Cheese, Parmesan With Garlic & Herbs",51db37bc176fe9790a898e3a,51c364ca97c3e69de4b04698,21000016044,2,Parmesan With Garlic & Herbs,"Cream Cheese (Pasteurized Milk and Cream, Cheese Culture, Salt, Carob Bean Gum), Skim Milk, Parmesan Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes), Cream, Garlic Juice, Contains Less than 1%  of Shredded Asiago Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes), Romano Cheese Made from Cow's Milk (Pasteurized Part-Skim Cows Milk, Cheese Culture, Salt, Enzymes), Spice, Sorbic Acid to Preserve Freshness, Guar Gum, Salt, Xanthan Gum, Lactic Acid, Onion Juice Concentrate, Natural Flavor.",90,80,9,5,0,null,null,25,140,1,0,0,2,6,0,4,0,null,7,2,tbsp,28,28,g,null,2014-11-24T20:24:24+00:00,null
Magnum,"Ice Cream Bar, Double Caramel",51db3810176fe9790a89b215,551e40f95625602056ca0d5a,7753282,2,null,null,340,190,21,15,0,null,null,20,90,37,1,31,3,4,0,10,10,null,1,98,g,98,98,g,https://d1r9wva3zcpswd.cloudfront.net/551e40a1afbd58f827666ded.jpeg,2015-04-03T07:26:25+00:00,null
Alvarado St. Bakery,"Bread, Whole Wheat 7-Grain",51db37d1176fe9790a899e10,51c36e0197c3e69de4b08f16,28833010805,2,Whole Wheat 7-Grain,"Organic Whole Wheat Flour, Filtered Water, Wheat Gluten, Honey, Organic Millet, Organic Cracked Wheat, Organic Corn Meal, Fresh Yeast, Pure Barley Malt, Molasses, Expeller Pressed Safflower Oil, Sea Salt, Organic Raisins, Organic Oats, Organic Rye, Organic Sunflower Seeds, Organic Flax Seeds, Soy Based Lecithin.",80,15,1,0,null,null,null,0,160,14,2,2,4,0,0,0,4,null,20,1,slice,34,34,g,null,2014-11-24T20:24:24+00:00,null
Cap Candy,"Spin Pop Candy, Toy Story 2, Woody",51db37c6176fe9790a899477,51c3694b97c3e69de4b067b4,22629045712,2,"Toy Story 2, Woody","Sugar, Corn Syrup. Starch, Citric Acid, Glycerin, Artificial Flavors, Artificial Colors (Including FD&C Blue No. 1), Turmeric Coloring, and BHT Added as a Preservative.",60,0,0,null,null,null,null,null,0,14,null,12,0,0,0,10,0,null,1,1,pop,null,null,null,null,2014-11-24T20:24:24+00:00,null
Eillien's,Assorted Lollies,5466478aa772dae86152630c,55ccc836a4eaf49a73233c0f,34952560633,2,null,null,30,0,0,0,0,null,null,0,0,7,0,7,0,0,0,0,0,null,56,1,pop,8,8,g,https://d1r9wva3zcpswd.cloudfront.net/55ccca92d5c813855a8a1b8e.jpeg,2015-08-13T16:49:22+00:00,null
Taste of Inspirations,"Nonfat Greek Yogurt, Classic Cherry Fruit on the Bottom",51db37b3176fe9790a8986a1,54efe40ac61cb7fa6ed61da5,725439980012,2,null,null,120,0,0,0,null,null,null,10,75,20,0.5,19,12,null,null,15,null,null,1,1,container,150,150,g,https://d1r9wva3zcpswd.cloudfront.net/54f1df7cd6d8f76302dbcd74.jpeg,2015-02-28T15:32:12+00:00,null
Martin's,1% Lowfat Milk,51db37c6176fe9790a899402,54efffe5f835ee19626db8cb,658882241037,2,null,null,100,20,2.5,1.5,0,null,null,15,120,11,0,11,8,10,2,30,0,null,16,1,cup,null,240,ml,https://d1r9wva3zcpswd.cloudfront.net/54f0005e8f511904206c9950.jpeg,2015-02-27T05:27:58+00:00,null
Scheckter's,"Energy Drink, Organic Energy",51db37cc176fe9790a899a93,52663eac5ab0a80500002c79,857400002918,2,null,"Sparkling  Filtered Water, Organic Raw Cane Sugar, Organic Lemon Juice (Fruit Juice From Concentrate), Organic Elderberry Juice (Fruit Juice From Concentrate), Organic Ginseng, OrganicEnergy (135 mg) Caffeine (Organic Guarana, Green Tea & Raw Green Coffee Bean) (11%).",112,0,0,null,null,null,null,null,0,28,null,26,0,null,null,null,null,null,1,1,can,null,250,ml,https://d1r9wva3zcpswd.cloudfront.net/536bc3094a749f8f03d61551.jpeg,2014-11-24T20:24:24+00:00,null
Nestle Dolcetto,"Frozen Dessert Cake, Vanilla Chocolate Allure",54ca65276f1a024b0f9197aa,54ca652976a774671dab18f0,55000406239,2,null,null,90,45,5,3.5,0,null,null,0,20,9,0,8,1,0,0,2,0,null,0,0.1,cake,null,60,ml,https://d1r9wva3zcpswd.cloudfront.net/54de4ea37ea1cda21acc5a60.jpeg,2015-02-13T19:21:08+00:00,null
Rosina,Meatballs,51db37b3176fe9790a898678,51c3c77297c3e6d8d3b4c4ab,41646404760,2,null,"Beef, Water, Bread Crumbs [Enriched Flour (Containing: Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin and Folic Acid), Corn Syrup, Sugar, Vegetable Shortening (One or More of the Following: Hydrogenated Soy Bean Oil and/or Cottonseed Oil), Yeast, Contains 2% or Less of the Following: Salt, Soy Flour, Whey, Dough Conditioner (Sodium-Stearoyl, 2 Lactylate), Calcium Propionate], Textured Soy Protein Concentrate (Soy Protein Concentrate, Caramel Color), Egg Whites, Soy Protein Concentrate, Contains 2% or Less of the Following: Romano Cheese (Sheep's Milk, Rennet, Salt), Dehydrated Onion, Pepper, Garlic Powder, Oregano, Parsley, Spices, Flavorings, Corn Syrup Solids, Salt, Sodium Phosphate.",270,200,23,9,null,null,null,50,700,6,4,1,16,2,0,4,8,null,5,3,meatballs,85,85,g,null,2014-11-24T20:24:24+00:00,null
Pacific Gold,Pistachios,51db37cb176fe9790a8998aa,51c3643597c3e69de4b041de,20022010634,2,null,"Pistachios, Salt.",180,130,16,2,0,null,null,0,230,8,3,2,4,2,4,4,6,null,5,0.25,cup,28,28,g,null,2014-11-24T20:24:24+00:00,null
Tuf,Bread Pudding Mix,51db37e3176fe9790a89a4df,51c357cd97c3e69de4afefea,645001028,2,null,"Sugar, Coconut Oil, Corn Syrup Solids, Egg Yolk Solids, Egg White Solids, Nonfat Dry Milk and/or Sodium Caseinate, Artificial Flavor, Calcium & Potassium Phosphate, Sodium Stearoyl Lactylate, Soy Lecithin, Annatto (Color), Mono & Diglycerides.",150,35,4,3,0,null,null,25,15,29,0,26,1,0,0,0,0,null,16,3,tbsp dry,34,34,g,null,2014-11-24T20:24:24+00:00,null
Andy Boy,Romaine Hearts,5453bbcbe29dd49a47880b09,546a082186f80d902a7c07b6,72668600007,2,null,null,20,0,0.5,0,0,null,null,0,0,3,1,2,1,20,4,2,2,140,null,6,leaves,85,85,g,https://d1r9wva3zcpswd.cloudfront.net/546a0e0f2bc0b27b2a676cda.jpeg,2014-11-24T20:24:24+00:00,null
Stouffer's,Grilled Asiago Chicken & Penne Pasta,51db37b2176fe9790a89858b,52fbd907ad2709a894000075,13800139276,2,null,null,320,90,10,4,0,null,null,32,770,35,3,4,23,8,20,20,8,null,3,0.33,package,283,283,g,https://d1r9wva3zcpswd.cloudfront.net/5360051b2ae36a5775c09a6b.jpeg,2014-11-24T20:24:24+00:00,null
Giuseppe Alberti Grocery,Benevento Croccantino Allo Strega Chocolatey Covered Hazelnuts,52ceb423bba524e068000f0f,52a637773498622d6c00d7a1,80368045226,2,null,null,210,110,12,5,0,null,null,null,0,22,2,15,2,0,0,2,10,null,8,2,pieces,40,40,g,https://d1r9wva3zcpswd.cloudfront.net/536b98aa10870f764b177a87.jpeg,2014-11-24T20:24:24+00:00,null
S&B,"Sauce with Vegetables, Golden Curry, Hot",51db37ce176fe9790a899c64,51c3d27397c3e6d8d3b51cc9,74880040623,2,"Golden Curry, Hot","Water, Vegetables (Potato, Onion, Carrot), Edible Oils (Palm Oil, Canola Oil), Wheat Flour, Sugar, Curry Powder, Hydroxypropyl Distarch Phosphate, Salt, Yeast Extract, Spices, Caramel, Apple Vinegar, Dried Bonito Powder, Dextrin.",240,130,15,9,0,null,null,0,1100,25,3,7,3,6,4,6,6,null,1,1,package,230,230,g,null,2014-11-24T20:24:24+00:00,null
Lean Pockets,"Sandwiches, Ham & Cheese, Whole Grain Crust",51db381f176fe9790a89b66e,51d2f7a4cc9bff111580c414,43695083002,2,"Ham & Cheese, Whole Grain Crust","Water, Ham Turkey Added Ground & Formed Natural Hickory Smoke Flavor Added (Contains Up to 18% of Water, Dextrose, Salt, Sugar, Sodium Phosphates, Natural Hickory Smoke Flavor, Flavorings, Sodium Erythorbate, Sodium Nitrite), Whole Wheat Flour, Unbleached Enriched Flour (Wheat Flour [Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid]), Reduced Fat Cheddar Cheese (Pasteurized Part-Skim Milk, Cheese Cultures, Salt, Enzymes, Annatto, Vitamin A Palmitate), Seasoning (Corn Maltodextrin, Whey, Buttermilk Powder, Cheddar Cheese [Milk, Cheese Cultures, Salt, Enzymes], Palm Oil, Salt, Corn Syrup Solids, Sugar, Sunflower Oil, Modified Corn Starch, Methyl Cellulose, Dehydrated Garlic, Citric Acid, Titanium Dioxide, Disodium Phosphate, Sodium Phosphate, Lactic Acid, Blue Cheese [Milk, Cheese Cultures, Salt, Enzymes], Sodium Caseinate [Milk], Dipotassium Phosphate, Disodium Inosinate & Guanylate, Natural & Artificial Flavor, Extractives of Paprika, Extractives of Turmeric), Margarine (Partially Hydrogenated Soybean Oil, Palm Oil, Water, Partially Hydrogenated Cottonseed Oil, Sugar, Mono- and Diglycerides, Artificial Flavor, Soybean Lecithin, Potassium Sorbate and Citric Acid [Preservatives], Colored with Annatto and Turmeric, Vitamin A Palmitate), Less than 2% Sugar, Modified Food Starch, Whey, Non Fat Dry Milk, Partially Hydrogenated Palm Kernel Oil (with Soy Lecithin), Dough Conditioner (Calcium Sulfate, Salt, L-Cysteine Hydrochloride, Garlic Powder, Tricalcium Phosphate, Enzymes), Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Egg Yolks, Yeast, Methylcellulose, Salt, Soy Flour, Egg Whites, Soybean Oil.",270,70,8,4,null,null,null,25,490,40,3,6,12,4,0,25,15,null,2,1,piece,127,127,g,null,2014-11-24T20:24:24+00:00,null
